patch_id,migration_id,repo_id,file_path,line_number,change_type,old_code,new_code,confidence,explanation,generated_by,generation_ts
p001-uuid-1111,m001-uuid-aaaa,repo_001,src/main/java/com/company/payment/config/JacksonConfig.java,45,method_removed,mapper.enableDefaultTyping();,mapper.activateDefaultTyping(mapper.getPolymorphicTypeValidator());,high,Replaced deprecated enableDefaultTyping with activateDefaultTyping,claude-3-sonnet,2026-02-01 11:00:00
p002-uuid-2222,m001-uuid-aaaa,repo_001,src/main/java/com/company/payment/config/JacksonConfig.java,52,method_removed,mapper.enableDefaultTyping(DefaultTyping.NON_FINAL);,"mapper.activateDefaultTyping(mapper.getPolymorphicTypeValidator(), DefaultTyping.NON_FINAL);",high,Added PolymorphicTypeValidator parameter,claude-3-sonnet,2026-02-01 11:00:00
p003-uuid-3333,m001-uuid-aaaa,repo_001,src/main/java/com/company/payment/service/PaymentProcessor.java,128,signature_changed,"JsonNode node = root.get(""amount"");","JsonNode node = root.path(""amount"");",high,Changed get() to path() for null-safe access,claude-3-sonnet,2026-02-01 11:00:00
p004-uuid-4444,m001-uuid-aaaa,repo_001,src/main/java/com/company/payment/service/PaymentProcessor.java,135,signature_changed,"String type = root.get(""type"").asText();","String type = root.path(""type"").asText(""default"");",medium,Added default value for missing node,claude-3-sonnet,2026-02-01 11:00:00
p005-uuid-5555,m002-uuid-bbbb,repo_002,src/main/java/com/company/customer/util/LoggerFactory.java,23,method_removed,Logger logger = Logger.getLogger(clazz);,Logger logger = LogManager.getLogger(clazz);,high,Migrated from deprecated Logger.getLogger to LogManager.getLogger,claude-3-sonnet,2026-02-02 15:00:00
p006-uuid-6666,m002-uuid-bbbb,repo_002,src/main/java/com/company/customer/util/LoggerFactory.java,15,import_added,import org.apache.log4j.Logger;,import org.apache.logging.log4j.LogManager;,high,Updated import for Log4j 2.x,claude-3-sonnet,2026-02-02 15:00:00
p007-uuid-7777,m003-uuid-cccc,repo_003,src/main/java/com/company/order/config/SecurityConfig.java,25,class_removed,public class SecurityConfig extends WebSecurityConfigurerAdapter {,public class SecurityConfig {,medium,Removed WebSecurityConfigurerAdapter - Spring Security 6 style,claude-3-sonnet,2026-02-03 10:00:00
p008-uuid-8888,m003-uuid-cccc,repo_003,src/main/java/com/company/order/config/SecurityConfig.java,45,method_changed,"@Override protected void configure(HttpSecurity http)","@Bean public SecurityFilterChain filterChain(HttpSecurity http)",medium,Changed from override method to bean configuration,claude-3-sonnet,2026-02-03 10:00:00
p009-uuid-9999,m003-uuid-cccc,repo_003,src/main/java/com/company/order/model/OrderEntity.java,12,import_changed,import javax.persistence.Entity;,import jakarta.persistence.Entity;,high,Migrated from javax to jakarta namespace,claude-3-sonnet,2026-02-03 10:00:00
p010-uuid-aaab,m005-uuid-eeee,repo_005,src/main/java/com/company/inventory/parser/YamlParser.java,34,constructor_changed,"Yaml yaml = new Yaml();","Yaml yaml = new Yaml(new SafeConstructor(new LoaderOptions()));",high,Added SafeConstructor for CVE-2022-1471 fix,claude-3-sonnet,2026-02-04 09:15:00
