repo_id,repo_path,repo_name,repo_url,library,current_version,priority,cve_ids,cvss_score,candidate_versions,last_detected_ts,status,checkmarx_finding_id,owner_team
repo_001,/Repos/security/java-goof,java-goof-todolist,https://github.com/snyk-labs/java-goof.git,jackson-databind,2.9.8,Critical,"[""CVE-2020-36518"", ""CVE-2022-42003""]",7.5,"[{""version"": ""2.15.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-05-05""}, {""version"": ""2.14.2"", ""vulnerability_count"": 0, ""release_date"": ""2023-01-28""}]",2026-02-01 10:30:00,ready,CX-2024-001234,platform-team
repo_002,/Repos/security/java-goof,java-goof-log4shell,https://github.com/snyk-labs/java-goof.git,log4j-core,2.14.1,Critical,"[""CVE-2021-44228"", ""CVE-2021-45046""]",10.0,"[{""version"": ""2.21.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-10-15""}, {""version"": ""2.20.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-02-17""}, {""version"": ""2.17.1"", ""vulnerability_count"": 0, ""release_date"": ""2021-12-28""}]",2026-02-02 14:15:00,ready,CX-2024-001235,backend-team
repo_003,/Repos/security/WebGoat,WebGoat,https://github.com/WebGoat/WebGoat.git,spring-boot,2.7.0,High,"[""CVE-2022-22965""]",9.8,"[{""version"": ""3.2.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-11-23""}, {""version"": ""3.1.5"", ""vulnerability_count"": 0, ""release_date"": ""2023-10-19""}, {""version"": ""2.7.18"", ""vulnerability_count"": 0, ""release_date"": ""2023-11-23""}]",2026-02-03 09:45:00,ready,CX-2024-001236,commerce-team
repo_004,/Repos/security/WebGoat,WebGoat,https://github.com/WebGoat/WebGoat.git,commons-text,1.9,High,"[""CVE-2022-42889""]",9.8,"[{""version"": ""1.11.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-10-13""}, {""version"": ""1.10.0"", ""vulnerability_count"": 0, ""release_date"": ""2022-09-24""}]",2026-02-03 11:20:00,ready,CX-2024-001237,messaging-team
repo_005,/Repos/security/java-goof,java-goof-todolist,https://github.com/snyk-labs/java-goof.git,snakeyaml,1.30,Critical,"[""CVE-2022-1471""]",9.8,"[{""version"": ""2.2"", ""vulnerability_count"": 0, ""release_date"": ""2023-09-12""}, {""version"": ""2.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-02-08""}]",2026-02-04 08:00:00,ready,CX-2024-001238,supply-chain-team
repo_006,/Repos/security/WebGoat,WebGoat,https://github.com/WebGoat/WebGoat.git,spring-security,5.6.0,Critical,"[""CVE-2022-22978"", ""CVE-2022-31692""]",9.8,"[{""version"": ""6.2.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-11-20""}, {""version"": ""6.1.5"", ""vulnerability_count"": 0, ""release_date"": ""2023-10-16""}, {""version"": ""5.8.9"", ""vulnerability_count"": 0, ""release_date"": ""2023-11-20""}]",2026-02-04 10:30:00,ready,CX-2024-001239,security-team
repo_007,/Repos/tools/pmd,pmd,https://github.com/pmd/pmd.git,gson,2.8.6,Medium,"[""CVE-2022-25647""]",7.5,"[{""version"": ""2.10.1"", ""vulnerability_count"": 0, ""release_date"": ""2023-01-08""}]",2026-02-04 15:45:00,ready,CX-2024-001240,data-team
repo_008,/Repos/security/java-goof,java-goof-todolist,https://github.com/snyk-labs/java-goof.git,hibernate-core,5.4.30,High,"[""CVE-2020-25638""]",7.4,"[{""version"": ""6.4.0"", ""vulnerability_count"": 0, ""release_date"": ""2023-12-15""}, {""version"": ""6.3.2"", ""vulnerability_count"": 0, ""release_date"": ""2023-11-08""}, {""version"": ""5.6.15"", ""vulnerability_count"": 0, ""release_date"": ""2023-04-21""}]",2026-02-05 14:00:00,analyzing,CX-2024-001243,finance-team
repo_009,/Repos/security/kubernetes-goat,kubernetes-goat,https://github.com/madhuakula/kubernetes-goat.git,netty,4.1.68,Critical,"[""CVE-2021-43797"", ""CVE-2022-24823""]",7.5,"[{""version"": ""4.1.100"", ""vulnerability_count"": 0, ""release_date"": ""2023-10-10""}, {""version"": ""4.1.94"", ""vulnerability_count"": 0, ""release_date"": ""2023-06-22""}]",2026-02-05 11:30:00,ready,CX-2024-001242,platform-team
repo_010,/Repos/security/WebGoat,WebGoat,https://github.com/WebGoat/WebGoat.git,jjwt,0.9.1,High,"[""CVE-2022-45146""]",7.5,"[{""version"": ""0.12.5"", ""vulnerability_count"": 0, ""release_date"": ""2024-02-28""}, {""version"": ""0.11.5"", ""vulnerability_count"": 0, ""release_date"": ""2022-11-14""}]",2026-02-06 08:15:00,ready,CX-2024-001244,search-team
